fit_id,heldout,k,combo,variant,seed,sibling_in_train,n_train,macro_f1
369,webshop,2,2wikimultihop+webgames,budget,4,False,1023,0.2111
370,webshop,2,frames+deepshop,raw,0,True,3123,0.4944
371,webshop,2,frames+deepshop,raw,1,True,3123,0.4999
372,webshop,2,frames+deepshop,raw,2,True,3123,0.4956
373,webshop,2,frames+deepshop,raw,3,True,3123,0.4983
374,webshop,2,frames+deepshop,raw,4,True,3123,0.5049
375,webshop,2,frames+deepshop,budget,0,True,1023,0.3981
376,webshop,2,frames+deepshop,budget,1,True,1023,0.4412
377,webshop,2,frames+deepshop,budget,2,True,1023,0.4164
378,webshop,2,frames+deepshop,budget,3,True,1023,0.4068
379,webshop,2,frames+deepshop,budget,4,True,1023,0.4539
380,webshop,2,frames+webgames,raw,0,False,3376,0.2719
381,webshop,2,frames+webgames,raw,1,False,3376,0.2706
382,webshop,2,frames+webgames,raw,2,False,3376,0.2635
383,webshop,2,frames+webgames,raw,3,False,3376,0.2655
384,webshop,2,frames+webgames,raw,4,False,3376,0.2672
385,webshop,2,frames+webgames,budget,0,False,1023,0.253
386,webshop,2,frames+webgames,budget,1,False,1023,0.2387
387,webshop,2,frames+webgames,budget,2,False,1023,0.263
388,webshop,2,frames+webgames,budget,3,False,1023,0.2434
389,webshop,2,frames+webgames,budget,4,False,1023,0.2441
390,webshop,2,deepshop+webgames,raw,0,True,2299,0.5115
391,webshop,2,deepshop+webgames,raw,1,True,2299,0.5207
392,webshop,2,deepshop+webgames,raw,2,True,2299,0.5159
393,webshop,2,deepshop+webgames,raw,3,True,2299,0.5168
394,webshop,2,deepshop+webgames,raw,4,True,2299,0.5159
395,webshop,2,deepshop+webgames,budget,0,True,1023,0.4354
396,webshop,2,deepshop+webgames,budget,1,True,1023,0.4111
397,webshop,2,deepshop+webgames,budget,2,True,1023,0.4366
398,webshop,2,deepshop+webgames,budget,3,True,1023,0.4518
399,webshop,2,deepshop+webgames,budget,4,True,1023,0.3911
400,webshop,3,2wikimultihop+frames+deepshop,raw,0,True,5178,0.4935
401,webshop,3,2wikimultihop+frames+deepshop,raw,1,True,5178,0.4904
402,webshop,3,2wikimultihop+frames+deepshop,raw,2,True,5178,0.4898
403,webshop,3,2wikimultihop+frames+deepshop,raw,3,True,5178,0.4883
404,webshop,3,2wikimultihop+frames+deepshop,raw,4,True,5178,0.4913
405,webshop,3,2wikimultihop+frames+deepshop,budget,0,True,1023,0.3967
406,webshop,3,2wikimultihop+frames+deepshop,budget,1,True,1023,0.3774
407,webshop,3,2wikimultihop+frames+deepshop,budget,2,True,1023,0.3659
408,webshop,3,2wikimultihop+frames+deepshop,budget,3,True,1023,0.364
409,webshop,3,2wikimultihop+frames+deepshop,budget,4,True,1023,0.3985
410,webshop,3,2wikimultihop+frames+webgames,raw,0,False,5431,0.2744
